name	x	y	z
A1	0.07	0.06	0.01
A2	0.07	0.06	0.03
A3	0.06	0.05	0.04
A4	0.06	0.05	0.06
A5	0.04	0.05	0.07
A6	0.03	0.05	0.08
A7	0.01	0.05	0.08
A8	0.06	0.06	-0.02
A9	0.05	0.06	0.01
A10	0.05	0.06	0.03
A11	0.05	0.06	0.05
A12	0.04	0.06	0.06
A14	0.00	0.06	0.07
A15	0.05	0.07	-0.04
A16	0.05	0.07	-0.01
A17	0.04	0.07	0.02
A18	0.04	0.07	0.03
A19	0.03	0.07	0.05
A20	0.01	0.07	0.05
A22	0.04	0.07	-0.03
A23	0.03	0.07	-0.00
A25	0.02	0.07	0.04
A26	-0.00	0.07	0.04
A27	-0.02	0.07	0.04
A28	0.02	0.07	-0.02
A29	0.02	0.07	-0.00
A32	-0.04	0.07	0.02
B1	0.04	0.03	0.09
B2	0.03	0.02	0.10
B3	0.05	0.00	0.10
B4	0.04	-0.02	0.10
B5	0.05	-0.04	0.09
B6	0.02	0.04	0.09
B7	0.01	0.02	0.10
B8	0.02	0.00	0.10
B9	0.01	-0.02	0.10
B10	0.03	-0.04	0.09
B11	-0.00	0.04	0.09
B12	-0.00	0.00	0.11
B13	0.00	-0.04	0.09
B14	-0.01	0.05	0.08
B15	-0.03	0.04	0.09
B16	-0.03	0.02	0.10
B17	-0.02	0.00	0.10
B18	-0.04	-0.03	0.10
B19	-0.02	-0.05	0.09
B20	-0.00	-0.05	0.08
B21	-0.04	0.05	0.08
B22	-0.05	0.03	0.09
B23	-0.06	0.01	0.09
B24	-0.05	-0.00	0.10
B25	-0.06	-0.03	0.08
B26	-0.04	-0.04	0.08
B27	-0.03	-0.06	0.08
B28	-0.06	0.05	0.07
B29	-0.07	0.03	0.07
B30	-0.07	-0.01	0.08
B31	-0.06	-0.04	0.07
B32	-0.05	-0.06	0.07
C1	-0.06	0.03	-0.08
C2	-0.07	0.02	-0.08
C4	-0.09	0.03	0.00
C5	-0.10	0.01	0.01
C6	-0.10	-0.01	0.02
C7	-0.10	-0.03	0.01
C8	-0.09	-0.04	0.00
C9	-0.08	-0.05	-0.00
C10	-0.07	-0.02	-0.08
C11	-0.05	-0.03	-0.08
C12	-0.09	0.03	-0.02
C13	-0.10	0.01	-0.01
C14	-0.10	-0.01	0.00
C16	-0.08	-0.04	-0.02
C18	-0.09	0.01	-0.03
C19	-0.10	-0.01	-0.02
C20	-0.09	-0.02	-0.03
C22	-0.07	0.03	-0.05
C23	-0.08	0.02	-0.04
C24	-0.09	-0.00	-0.03
C25	-0.08	-0.02	-0.04
C26	-0.07	-0.04	-0.05
C27	-0.06	0.03	-0.06
C28	-0.08	0.02	-0.06
C29	-0.08	-0.01	-0.05
C30	-0.07	-0.02	-0.06
C31	-0.06	-0.04	-0.07
C32	-0.08	-0.00	-0.07
D1	0.02	-0.05	0.08
D2	0.04	-0.05	0.08
D3	0.06	-0.05	0.07
D4	0.07	-0.05	0.05
D5	0.01	-0.06	0.06
D6	0.03	-0.06	0.06
D7	0.04	-0.06	0.05
D8	-0.01	-0.07	0.05
D9	0.01	-0.07	0.05
D10	0.04	-0.07	0.04
D11	0.05	-0.06	0.04
D12	0.07	-0.05	0.04
D13	-0.02	-0.08	0.03
D15	0.02	-0.07	0.03
D16	0.04	-0.07	0.02
D19	-0.03	-0.07	0.02
D20	-0.01	-0.08	0.02
D22	0.03	-0.07	0.01
D23	0.05	-0.07	0.01
D24	0.06	-0.06	-0.00
D25	0.07	-0.05	0.01
D27	0.04	-0.07	-0.01
D28	0.05	-0.06	-0.02
D29	0.06	-0.06	-0.03
D30	0.03	-0.07	-0.03
D31	0.04	-0.07	-0.04
D32	0.05	-0.06	-0.05
E1	-0.06	-0.06	-0.00
E4	-0.07	-0.06	-0.02
E6	-0.06	-0.05	-0.04
E7	-0.04	-0.06	-0.04
E8	-0.05	-0.05	-0.05
E9	-0.03	-0.06	-0.06
E10	-0.04	-0.05	-0.07
E11	-0.02	-0.05	-0.08
E12	-0.03	-0.05	-0.09
E13	-0.02	-0.05	-0.10
E14	-0.01	-0.05	-0.09
E15	-0.00	-0.06	-0.07
E16	0.01	-0.06	-0.07
E17	0.03	-0.06	-0.06
E18	0.04	-0.06	-0.07
E19	0.05	-0.05	-0.08
E20	0.06	-0.06	-0.05
E21	0.03	-0.06	-0.08
E22	0.04	-0.05	-0.09
E23	0.05	-0.04	-0.10
E25	0.01	-0.05	-0.09
E26	0.03	-0.05	-0.10
E27	0.04	-0.04	-0.11
E31	-0.07	-0.06	0.01
E32	-0.05	-0.07	0.02
F1	-0.02	0.06	0.07
F2	-0.05	0.06	0.06
F3	-0.07	0.05	0.05
F4	-0.08	0.03	0.05
F5	-0.08	0.01	0.07
F6	-0.08	-0.01	0.06
F7	-0.07	-0.02	0.07
F8	-0.08	-0.04	0.06
F9	-0.06	-0.06	0.06
F10	-0.04	-0.07	0.06
F11	-0.01	-0.07	0.06
F13	-0.03	-0.07	0.05
F14	-0.05	-0.06	0.04
F15	-0.07	-0.05	0.04
F16	-0.09	-0.04	0.03
F17	-0.09	-0.02	0.04
F18	-0.09	-0.01	0.04
F19	-0.09	0.01	0.05
F20	-0.09	0.03	0.04
F21	-0.07	0.05	0.04
F22	-0.06	0.06	0.05
F23	-0.03	0.07	0.05
F24	-0.04	0.07	0.03
F25	-0.07	0.06	0.03
F26	-0.08	0.04	0.03
F27	-0.09	0.03	0.02
F29	-0.10	-0.02	0.03
F30	-0.08	-0.05	0.02
F31	-0.06	-0.06	0.03
F32	-0.09	-0.04	0.01
G1	0.06	0.06	-0.05
G2	0.05	0.06	-0.07
G3	0.03	0.07	-0.05
G4	0.02	0.07	-0.04
G7	0.02	0.07	-0.07
G8	0.01	0.07	-0.06
G9	0.05	0.05	-0.10
G10	0.03	0.04	-0.11
G12	0.01	0.05	-0.09
G14	0.01	0.05	-0.12
G15	-0.03	0.05	-0.10
G16	-0.01	0.05	-0.10
G17	-0.01	0.06	-0.07
G19	-0.02	0.05	-0.09
G20	-0.03	0.06	-0.06
G22	-0.05	0.06	-0.02
G25	-0.07	0.05	-0.00
G26	-0.07	0.05	-0.02
G27	-0.07	0.05	-0.04
G28	-0.06	0.05	-0.05
G29	-0.03	0.05	-0.08
G30	-0.05	0.05	-0.07
G31	-0.06	0.07	0.01
G32	-0.04	0.04	-0.09
H1	0.06	-0.03	0.08
H2	0.05	-0.01	0.09
H3	0.06	0.00	0.08
H4	0.05	0.02	0.09
H5	0.05	0.04	0.08
H6	0.07	0.02	0.08
H7	0.08	0.00	0.07
H8	0.07	-0.02	0.08
H10	0.09	-0.02	0.06
H11	0.08	-0.04	0.05
H12	0.10	-0.02	0.05
H13	0.09	0.01	0.06
H14	0.08	0.02	0.06
H15	0.06	0.04	0.07
H16	0.09	0.03	0.05
H17	0.07	0.04	0.05
H18	0.09	0.03	0.03
H19	0.08	0.05	0.04
H20	0.10	-0.02	0.03
H21	0.08	0.05	0.02
H22	0.10	0.01	0.04
H23	0.09	-0.04	0.04
H24	0.09	-0.04	0.02
EXG1	0.09	-0.04	-0.03
EXG2	0.09	-0.02	-0.04
EXG3	0.09	0.03	-0.03
EXG5	0.10	-0.01	0.02
EXG6	0.10	0.02	0.02
